ID,buffer_6.5,buffer_7.5,buffer_8.5,c12e8,chaps,ddm,lmng,og,tcep,nacl,glycerol,water
108,0,0,10.0,0,0,0,0,7.42,10.0,5.0,0.0,65.9
109,0,0,10.0,6.72,0,0,0,0,0.0,5.0,30.0,46.6
110,0,0,10.0,6.72,0,0,0,0,10.0,5.0,30.0,36.6
111,0,0,10.0,0,6.8,0,0,0,0.0,5.0,30.0,46.52
112,0,0,10.0,0,6.8,0,0,0,10.0,5.0,30.0,36.52
113,0,0,10.0,0,0,6.09,0,0,0.0,5.0,30.0,47.23
114,0,0,10.0,0,0,6.09,0,0,10.0,5.0,30.0,37.23
115,0,0,10.0,0,0,0,14.0,0,0.0,5.0,30.0,39.32
116,0,0,10.0,0,0,0,14.0,0,10.0,5.0,30.0,29.32
117,0,0,10.0,0,0,0,0,0,0.0,5.0,30.0,53.32
118,0,0,10.0,0,0,0,0,0,10.0,5.0,30.0,43.32
119,0,0,10.0,0,0,0,0,7.42,0.0,5.0,30.0,45.9
120,0,0,10.0,0,0,0,0,7.42,10.0,5.0,30.0,35.9
121,0,0,10.0,6.72,0,0,0,0,0.0,25.0,0.0,56.6
122,0,0,10.0,6.72,0,0,0,0,10.0,25.0,0.0,46.6
123,0,0,10.0,0,6.8,0,0,0,0.0,25.0,0.0,56.52
124,0,0,10.0,0,6.8,0,0,0,10.0,25.0,0.0,46.52
125,0,0,10.0,0,0,6.09,0,0,0.0,25.0,0.0,57.23
126,0,0,10.0,0,0,6.09,0,0,10.0,25.0,0.0,47.23
127,0,0,10.0,0,0,0,14.0,0,0.0,25.0,0.0,49.32
128,0,0,10.0,0,0,0,14.0,0,10.0,25.0,0.0,39.32
129,0,0,10.0,0,0,0,0,0,0.0,25.0,0.0,63.32
130,0,0,10.0,0,0,0,0,0,10.0,25.0,0.0,53.32
131,0,0,10.0,0,0,0,0,7.42,0.0,25.0,0.0,55.9
132,0,0,10.0,0,0,0,0,7.42,10.0,25.0,0.0,45.9
133,0,0,10.0,6.72,0,0,0,0,0.0,25.0,30.0,26.6
134,0,0,10.0,6.72,0,0,0,0,10.0,25.0,30.0,16.6
135,0,0,10.0,0,6.8,0,0,0,0.0,25.0,30.0,26.52
136,0,0,10.0,0,6.8,0,0,0,10.0,25.0,30.0,16.52
137,0,0,10.0,0,0,6.09,0,0,0.0,25.0,30.0,27.23
138,0,0,10.0,0,0,6.09,0,0,10.0,25.0,30.0,17.23
139,0,0,10.0,0,0,0,14.0,0,0.0,25.0,30.0,19.32
140,0,0,10.0,0,0,0,14.0,0,10.0,25.0,30.0,9.32
141,0,0,10.0,0,0,0,0,0,0.0,25.0,30.0,33.32
142,0,0,10.0,0,0,0,0,0,10.0,25.0,30.0,23.32
143,0,0,10.0,0,0,0,0,7.42,0.0,25.0,30.0,25.9
144,0,0,10.0,0,0,0,0,7.42,10.0,25.0,30.0,15.9
